age,day,campaign,pdays,month_new,job_new,marital_new,education_new,default_new,housing_new,loan_new,contact_new,poutcome_new,balance_new,duration_new,y
29,14,1,-1,5,4,2,2,0,1,0,2,3,1952.0,354.0,0
29,15,2,-1,5,1,2,1,0,1,0,0,3,244.0,19.0,0
26,18,2,-1,6,0,1,1,0,1,1,2,3,416.0,172.0,0
29,17,1,-1,7,9,2,2,0,1,0,0,3,406.0,119.0,0
53,2,1,249,2,6,1,2,0,1,0,0,0,451.0,125.0,0
34,15,1,-1,7,4,1,2,0,1,1,0,3,160.0,130.0,0
31,28,5,-1,8,9,2,1,0,0,0,0,3,182.0,52.0,0
57,28,1,194,10,3,1,2,0,0,0,0,2,2326.0,207.0,0
47,17,1,-1,6,1,1,0,0,0,0,2,3,145.0,255.0,0
45,11,1,-1,6,9,0,1,0,1,1,2,3,0.0,127.0,0
46,17,1,-1,11,4,1,1,0,1,0,1,3,1306.0,155.0,0
45,20,1,-1,6,1,2,0,0,0,0,2,3,1006.0,124.0,0
54,3,4,-1,6,0,2,1,0,0,0,2,3,2423.0,75.0,0
51,18,2,-1,5,1,2,0,0,1,0,0,3,55.0,351.0,0
40,12,1,-1,6,1,1,1,0,0,1,2,3,952.0,140.0,0
38,30,1,-1,1,10,1,1,0,1,1,0,3,0.0,437.0,0
36,5,1,355,5,1,2,1,0,1,0,0,1,767.0,62.0,0
36,18,2,-1,6,1,1,0,0,0,0,2,3,1707.0,190.0,0
32,8,1,-1,5,4,2,2,0,1,0,2,3,3.0,161.0,0
41,20,1,-1,11,1,1,0,0,1,0,0,3,875.0,197.0,0
58,27,4,-1,8,5,1,3,0,0,0,0,3,911.0,178.0,0
51,12,2,342,5,1,1,0,0,1,0,0,0,42.0,51.0,0
29,27,4,-1,5,4,2,2,0,0,0,1,3,559.0,86.0,0
27,1,2,-1,4,9,2,2,0,0,0,0,3,393.0,165.0,1
34,30,1,160,4,4,1,2,0,0,0,0,1,3047.0,317.0,1
60,4,1,-1,8,1,1,0,0,0,0,0,3,1670.0,115.0,0
34,20,1,-1,5,0,1,1,0,0,0,2,3,1689.0,423.0,1
32,13,1,-1,5,1,2,0,0,1,0,0,3,7.0,109.0,0
26,18,1,82,8,4,2,2,0,0,0,0,0,2506.0,134.0,0
27,21,1,-1,5,7,1,1,0,1,1,2,3,1303.0,364.0,0
40,6,1,-1,4,4,1,1,0,0,1,0,3,754.0,547.0,1
45,9,1,-1,7,9,1,1,0,1,0,0,3,1028.0,113.0,0
50,8,1,-1,5,9,1,1,0,1,0,2,3,389.0,110.0,0
38,29,1,188,1,1,1,0,0,1,0,0,0,406.0,138.0,0
37,16,2,-1,6,9,1,3,0,0,0,0,3,189.0,162.0,1
30,18,1,124,11,4,1,2,0,0,0,0,0,900.0,123.0,0
27,29,2,247,1,9,2,1,0,1,0,0,0,261.0,236.0,0
51,8,2,-1,5,4,1,2,0,1,0,0,3,257.0,129.0,0
50,18,1,-1,11,0,2,1,0,0,0,0,3,642.0,435.0,0
46,2,1,-1,2,4,1,2,0,0,0,0,3,699.0,241.0,0
31,26,2,-1,5,4,1,2,0,1,0,0,3,2196.0,299.0,1
32,31,3,-1,7,9,2,2,0,1,0,0,3,127.0,88.0,0
34,16,2,-1,5,9,2,2,0,1,0,2,3,586.0,489.0,0
59,14,4,-1,8,5,0,2,0,0,0,0,3,-134.0,217.0,1
35,20,1,-1,7,1,1,1,0,1,0,2,3,-17.0,7.0,0
32,17,2,-1,7,4,1,2,0,1,0,0,3,710.0,181.0,0
44,5,1,180,4,4,1,1,0,0,0,0,1,2897.0,296.0,1
31,26,2,-1,5,9,1,1,0,1,0,2,3,-576.0,93.0,0
35,17,2,-1,4,1,1,1,0,1,0,0,3,603.0,474.0,0
45,7,1,-1,1,10,1,1,0,1,0,2,3,891.0,118.0,0
42,9,1,-1,7,1,1,1,0,1,0,1,3,704.0,31.0,0
43,6,5,276,2,0,2,1,0,1,0,1,1,309.0,24.0,0
29,31,2,-1,7,9,1,2,0,1,1,0,3,-983.0,58.0,0
34,11,2,-1,5,9,1,2,0,1,0,0,3,1611.0,490.0,1
47,23,2,-1,7,1,1,1,0,1,1,1,3,13.0,135.0,0
34,24,6,-1,7,9,1,1,0,1,0,0,3,1234.0,185.0,0
52,13,1,-1,10,4,1,0,0,0,0,0,3,3343.0,227.0,1
43,30,1,-1,5,1,1,1,0,0,1,2,3,1096.0,180.0,0
40,30,2,-1,5,9,1,1,0,1,1,2,3,-28.0,289.0,0
47,26,5,-1,5,9,1,1,0,1,1,2,3,-545.0,140.0,0
36,15,2,-1,5,0,1,1,0,0,0,0,3,1479.0,65.0,0
58,9,5,-1,5,1,1,0,0,1,0,2,3,-91.0,164.0,0
30,12,1,-1,5,1,1,1,0,1,0,0,3,90.0,232.0,0
32,29,2,-1,8,9,2,1,0,0,0,1,3,1179.0,116.0,0
35,22,1,175,10,4,2,2,0,1,0,0,2,1750.0,422.0,1
40,10,4,68,8,9,1,1,0,1,0,0,2,694.0,107.0,0
44,12,1,361,5,7,2,1,0,1,0,0,1,492.0,56.0,0
54,18,1,-1,11,5,0,2,0,1,0,0,3,349.0,257.0,0
59,11,2,-1,7,0,0,1,0,0,1,0,3,5.0,67.0,0
52,23,1,-1,7,1,1,1,0,0,0,0,3,1027.0,59.0,0
38,19,1,-1,11,1,0,1,0,1,0,0,3,0.0,230.0,0
31,14,2,-1,5,7,1,1,0,1,0,0,3,640.0,411.0,0
33,27,1,-1,5,9,2,1,0,1,0,2,3,810.0,133.0,0
31,8,3,-1,8,9,1,2,0,0,0,0,3,344.0,62.0,0
29,9,3,-1,5,9,2,2,0,1,0,2,3,542.0,338.0,0
23,4,2,-1,6,7,2,1,0,1,0,2,3,966.0,83.0,0
28,28,4,-1,5,1,0,3,0,1,0,2,3,101.0,126.0,0
47,15,1,-1,5,9,1,1,0,1,0,2,3,201.0,254.0,0
37,5,1,-1,5,9,1,1,0,1,0,2,3,275.0,132.0,0
47,30,5,-1,7,4,1,2,0,0,0,1,3,337.0,300.0,1
37,19,3,-1,6,1,1,0,0,1,0,2,3,0.0,129.0,0
59,26,1,-1,5,9,1,1,0,1,0,2,3,-247.0,131.0,0
39,12,6,-1,8,9,1,1,0,0,0,0,3,1986.0,217.0,1
28,24,1,-1,7,0,2,1,0,1,0,0,3,2.0,454.0,0
40,22,6,-1,8,6,1,1,0,0,0,0,3,0.0,55.0,0
38,16,2,-1,6,0,1,1,0,1,1,2,3,1116.0,406.0,0
44,30,1,-1,7,7,1,1,0,0,0,0,3,1326.0,96.0,0
30,4,4,-1,5,10,1,1,0,0,0,0,3,476.0,99.0,1
41,8,2,-1,5,9,1,1,0,1,1,2,3,225.0,63.0,0
34,9,3,181,3,4,1,2,0,0,0,0,2,158.0,212.0,1
64,6,1,-1,2,5,1,0,0,0,0,0,3,440.0,495.0,0
24,16,2,94,11,1,1,1,0,0,0,0,2,272.0,105.0,0
50,11,1,-1,5,5,1,2,0,1,1,0,3,4.0,67.0,0
63,11,1,80,9,5,1,1,0,0,0,0,0,2747.0,113.0,1
34,23,1,-1,7,7,1,1,0,1,1,0,3,-451.0,498.0,0
53,10,1,-1,7,1,1,1,0,1,1,0,3,684.0,197.0,0
36,30,1,-1,4,6,2,2,0,1,0,0,3,0.0,204.0,0
47,17,1,-1,6,11,1,3,0,0,0,2,3,1728.0,98.0,0
32,11,1,305,5,7,2,1,0,0,0,0,0,-23.0,185.0,1
45,2,1,-1,3,0,1,1,0,1,0,0,3,129.0,145.0,0
36,4,1,-1,7,4,1,2,0,1,1,2,3,59.0,100.0,0
38,18,2,-1,11,9,1,2,0,0,0,0,3,3234.0,547.0,0
32,3,1,-1,6,1,1,1,0,1,0,2,3,478.0,200.0,0
44,11,1,356,5,4,1,2,0,1,0,0,0,-8.0,472.0,0
21,24,1,-1,8,8,2,0,0,0,0,2,3,281.0,11.0,0
37,3,2,-1,6,0,1,1,0,1,0,2,3,1345.0,59.0,0
46,14,1,345,5,4,0,2,0,1,0,0,1,225.0,201.0,0
35,28,5,-1,5,1,1,1,0,1,0,2,3,1388.0,119.0,0
56,19,4,-1,8,4,1,2,0,0,0,0,3,1282.0,323.0,0
37,12,2,-1,8,9,2,1,0,1,0,0,3,353.0,147.0,0
33,7,2,-1,5,7,2,1,0,1,0,1,3,1646.0,317.0,0
26,12,2,-1,5,1,1,1,0,1,0,2,3,288.0,49.0,0
34,14,2,-1,5,6,2,3,0,1,0,0,3,687.0,99.0,0
28,16,1,-1,5,7,2,1,0,1,0,2,3,45.0,345.0,0
34,27,1,-1,5,0,1,1,0,1,1,2,3,-549.0,405.0,0
37,11,1,190,8,4,1,2,0,1,1,0,1,789.0,93.0,0
41,17,3,-1,6,9,1,1,0,0,0,2,3,130.0,160.0,0
31,10,1,782,8,1,1,1,0,1,0,2,1,0.0,97.0,0
31,13,1,-1,11,2,2,1,0,0,0,1,3,0.0,160.0,0
52,24,2,-1,12,10,0,1,0,0,0,0,3,230.0,422.0,0
28,12,1,349,5,0,2,1,0,1,1,0,0,242.0,256.0,0
43,10,1,-1,11,0,1,1,0,0,0,1,3,2271.0,524.0,1
51,25,2,-1,7,4,1,2,0,0,0,0,3,-15.0,212.0,1
40,13,1,-1,11,1,1,1,0,1,1,1,3,718.0,72.0,0
46,25,1,-1,7,7,1,0,0,0,0,0,3,860.0,80.0,0
50,9,2,-1,7,4,1,3,0,0,0,0,3,0.0,99.0,1
53,20,2,-1,8,4,1,2,0,0,0,0,3,75.0,216.0,0
31,6,2,-1,8,9,2,1,0,0,0,0,3,200.0,315.0,1
31,11,2,-1,7,2,1,2,0,1,1,0,3,0.0,151.0,0
58,5,2,-1,8,9,0,1,0,0,0,0,3,-123.0,131.0,0
40,8,1,-1,5,1,0,0,0,1,0,0,3,71.0,225.0,0
56,20,4,-1,8,5,1,0,0,0,0,0,3,681.0,204.0,1
31,22,1,-1,9,8,2,1,0,0,0,0,3,0.0,173.0,1
50,15,1,-1,5,1,1,0,0,1,0,2,3,2212.0,116.0,0
33,20,1,91,11,9,0,1,0,1,0,0,0,557.0,89.0,0
64,17,1,-1,4,5,1,0,0,0,0,0,3,493.0,108.0,1
22,6,1,-1,5,7,2,1,0,1,0,0,3,3.0,156.0,0
46,2,2,207,2,4,0,2,0,1,0,0,1,665.0,158.0,0
30,6,2,-1,5,1,1,0,0,1,0,0,3,0.0,239.0,0
34,13,1,-1,5,0,1,1,0,1,0,2,3,3185.0,520.0,0
32,21,3,-1,7,4,2,2,0,1,0,0,3,2551.0,547.0,0
37,20,1,-1,5,1,0,1,0,1,0,2,3,614.0,185.0,0
58,30,3,-1,7,9,1,1,0,0,0,0,3,86.0,95.0,0
55,10,1,102,8,0,0,1,0,0,0,0,2,1693.0,247.0,1
43,14,1,-1,5,4,1,2,0,1,1,1,3,-271.0,121.0,0
53,6,2,-1,5,5,1,0,0,1,0,2,3,136.0,267.0,0
34,23,4,-1,5,7,1,1,0,1,1,2,3,70.0,138.0,0
58,5,1,-1,6,5,1,0,0,0,0,0,3,1980.0,255.0,1
50,22,4,-1,8,1,1,0,0,0,0,0,3,1052.0,149.0,0
49,14,6,365,5,1,1,0,0,1,0,1,0,584.0,167.0,0
32,9,5,-1,2,10,2,2,0,1,0,0,3,586.0,12.0,0
59,29,1,-1,4,4,1,2,0,1,0,0,3,1.0,210.0,0
30,14,2,-1,8,9,1,2,0,0,0,0,3,910.0,228.0,1
33,17,3,332,4,1,1,1,0,1,0,0,1,26.0,342.0,0
34,7,2,-1,8,4,1,2,0,0,0,0,3,834.0,182.0,1
36,4,3,-1,5,9,1,2,0,1,1,0,3,911.0,275.0,1
38,6,2,-1,5,6,1,2,0,1,0,0,3,327.0,69.0,0
42,17,1,-1,7,7,0,1,0,0,0,0,3,138.0,324.0,1
60,19,1,184,2,5,0,1,0,0,0,0,2,1.0,302.0,1
36,4,1,-1,2,7,1,1,0,0,0,0,3,372.0,94.0,1
35,18,1,120,11,4,1,2,0,0,0,0,1,1041.0,547.0,0
30,21,2,-1,5,7,1,2,0,1,0,2,3,1380.0,294.0,0
52,6,1,-1,5,1,1,1,0,0,0,2,3,3165.0,26.0,0
35,15,1,-1,5,0,2,2,0,1,0,0,3,1374.0,319.0,0
32,5,1,-1,8,2,1,2,0,0,0,0,3,28.0,287.0,1
51,21,3,-1,11,9,1,1,0,0,0,1,3,2937.0,30.0,0
60,4,2,-1,6,5,1,0,0,1,0,2,3,1664.0,142.0,0
43,8,2,368,5,1,1,1,0,1,0,0,0,490.0,216.0,0
42,15,1,-1,5,2,1,2,0,1,0,0,3,34.0,272.0,0
52,4,1,-1,2,9,0,1,0,1,0,0,3,643.0,270.0,0
37,28,1,-1,1,3,2,1,0,0,0,1,3,1358.0,119.0,0
26,8,4,-1,7,3,1,0,0,0,1,0,3,158.0,416.0,1
54,13,1,-1,5,5,0,2,0,0,0,2,3,0.0,547.0,1
33,15,2,-1,5,1,1,1,0,1,0,2,3,175.0,392.0,0
37,29,1,-1,1,4,1,2,1,0,0,0,3,-22.0,128.0,0
46,25,2,-1,7,4,2,2,0,0,0,0,3,502.0,18.0,0
35,21,4,-1,11,7,1,1,0,0,1,0,3,537.0,11.0,0
58,20,2,-1,6,5,1,0,0,0,0,2,3,741.0,81.0,0
47,11,5,-1,6,9,0,1,0,0,0,2,3,450.0,40.0,0
36,4,1,-1,6,4,2,2,0,1,0,0,3,1027.0,151.0,0
30,8,2,-1,8,9,2,1,0,0,0,0,3,0.0,216.0,1
46,27,1,158,10,4,2,2,0,1,1,0,0,311.0,96.0,0
59,2,3,-1,6,4,1,0,0,1,0,2,3,396.0,72.0,0
33,21,1,-1,5,6,0,1,0,1,0,2,3,892.0,316.0,0
41,7,5,-1,5,1,1,1,0,1,0,0,3,424.0,83.0,0
38,23,1,-1,7,9,0,1,0,0,1,0,3,1.0,73.0,0
34,22,2,-1,7,1,1,0,0,1,0,0,3,0.0,149.0,0
57,14,1,-1,5,4,1,2,0,1,0,2,3,0.0,124.0,0
32,25,4,-1,8,9,1,1,0,1,0,0,3,79.0,417.0,0
39,2,2,147,7,0,0,1,0,1,0,0,2,19.0,503.0,1
36,8,3,-1,4,4,2,2,0,1,0,0,3,223.0,281.0,0
39,9,4,-1,6,7,1,1,0,1,0,2,3,1367.0,53.0,0
28,16,1,-1,2,6,2,2,0,0,0,0,3,805.0,331.0,1
25,9,2,-1,5,0,1,1,0,1,0,2,3,10.0,393.0,0
37,19,2,-1,6,0,1,1,0,0,1,2,3,0.0,176.0,0
43,14,2,-1,5,1,1,1,0,1,0,2,3,1109.0,160.0,0
40,9,2,141,4,4,0,2,0,1,0,0,0,1315.0,466.0,0
33,18,5,-1,8,6,1,1,0,0,0,0,3,173.0,26.0,0
58,11,2,-1,7,5,1,1,0,1,0,0,3,100.0,186.0,0
50,5,1,-1,2,0,0,1,0,0,0,0,3,223.0,221.0,0
29,18,1,-1,7,2,1,0,0,1,0,0,3,519.0,120.0,0
60,10,1,-1,7,1,1,1,0,0,0,0,3,721.0,160.0,0
51,6,1,-1,5,1,1,1,0,1,1,2,3,50.0,121.0,0
56,1,1,-1,6,4,1,2,0,0,0,0,3,1407.0,388.0,1
30,25,4,363,5,9,2,1,0,1,0,0,0,156.0,157.0,1
31,15,2,-1,5,0,0,1,0,1,0,0,3,-254.0,237.0,0
30,17,1,123,11,4,1,2,0,1,0,0,0,101.0,348.0,0
46,22,1,-1,5,0,2,1,0,0,0,0,3,533.0,71.0,0
30,15,2,-1,5,4,2,2,0,1,0,2,3,78.0,73.0,0
28,8,3,-1,5,6,1,2,0,1,1,2,3,120.0,130.0,0
41,8,2,172,5,2,1,2,0,1,0,0,1,10.0,196.0,0
32,25,1,-1,7,4,1,2,0,1,1,0,3,3107.0,310.0,0
48,6,1,-1,6,7,1,1,0,0,0,2,3,328.0,189.0,0
55,14,2,-1,7,9,0,1,0,0,1,0,3,225.0,116.0,0
34,27,1,-1,5,9,2,1,0,1,0,2,3,-329.0,280.0,0
33,15,6,-1,5,1,2,1,0,1,0,2,3,49.0,547.0,0
39,9,2,-1,6,1,1,1,0,0,0,2,3,138.0,61.0,0
57,18,4,-1,11,7,1,1,0,0,0,0,3,315.0,127.0,0
51,18,1,-1,11,3,0,1,0,1,0,0,3,-76.0,91.0,0
30,23,1,-1,5,7,2,1,0,1,0,2,3,1649.0,206.0,0
48,26,1,-1,5,0,0,1,0,1,1,2,3,-212.0,76.0,0
32,11,3,-1,5,1,0,1,0,1,1,0,3,-15.0,132.0,0
51,17,2,-1,6,6,1,0,0,1,1,2,3,307.0,65.0,0
29,26,1,-1,5,1,1,1,0,1,1,2,3,2.0,171.0,0
38,6,3,-1,8,4,1,2,0,0,0,0,3,178.0,170.0,1
29,29,6,-1,7,4,2,2,1,0,1,0,3,-1334.0,95.0,0
29,13,4,-1,5,0,2,1,0,1,0,2,3,-44.0,166.0,0
42,20,3,-1,11,7,1,1,0,0,0,0,3,2145.0,124.0,0
35,9,5,-1,6,6,1,1,0,0,0,2,3,-3.0,438.0,0
31,5,1,-1,2,0,2,2,0,0,0,0,3,541.0,100.0,1
47,16,1,-1,5,9,1,2,0,1,0,2,3,282.0,433.0,0
30,11,3,95,10,4,2,2,0,0,0,0,2,502.0,463.0,1
48,16,1,-1,6,4,1,2,0,0,0,2,3,342.0,452.0,0
24,5,1,-1,5,0,2,1,0,1,0,0,3,-386.0,180.0,0
42,29,2,-1,5,1,1,1,0,1,0,2,3,790.0,356.0,0
54,24,3,-1,7,2,1,2,0,0,1,0,3,1544.0,82.0,0
47,13,2,-1,8,1,1,0,0,0,0,0,3,48.0,170.0,1
50,18,1,-1,11,9,1,1,0,0,0,0,3,232.0,90.0,0
28,17,1,-1,4,4,2,2,0,1,0,0,3,175.0,219.0,0
55,20,1,181,4,10,0,1,0,0,0,0,2,309.0,167.0,1
30,9,3,-1,5,7,1,0,0,1,0,2,3,21.0,409.0,0
30,24,4,-1,7,4,2,1,1,0,0,1,3,-985.0,28.0,0
34,5,1,-1,2,0,1,2,0,1,0,0,3,788.0,269.0,0
29,30,4,-1,5,4,1,2,0,1,0,2,3,239.0,143.0,0
40,21,1,-1,11,2,1,1,0,0,0,0,3,285.0,133.0,0
56,5,1,-1,8,5,1,1,0,0,0,0,3,364.0,105.0,0
35,8,1,-1,5,4,2,2,0,0,0,0,3,642.0,278.0,1
30,28,3,-1,7,1,2,1,0,0,0,0,3,363.0,171.0,0
28,23,1,-1,7,7,2,1,0,0,0,0,3,525.0,81.0,0
35,15,1,181,3,1,1,1,0,0,0,0,2,262.0,427.0,1
31,19,1,-1,5,0,1,1,0,1,0,2,3,97.0,547.0,0
33,9,1,-1,7,4,2,2,0,0,1,1,3,191.0,25.0,0
31,8,4,-1,7,4,2,2,0,0,1,0,3,296.0,509.0,1
49,6,3,-1,5,4,2,2,0,1,0,2,3,163.0,496.0,0
36,12,2,-1,8,4,1,2,0,0,0,0,3,171.0,92.0,0
39,15,3,-1,5,1,2,0,0,0,0,2,3,-21.0,121.0,0
48,17,4,-1,7,0,1,1,0,1,0,0,3,0.0,109.0,0
29,8,2,-1,4,9,1,1,0,1,0,0,3,23.0,101.0,0
33,5,5,349,5,4,2,2,0,1,0,0,0,1373.0,17.0,0
30,8,3,-1,5,1,1,1,0,1,0,0,3,194.0,475.0,1
42,3,1,-1,6,2,1,1,0,1,0,2,3,2869.0,440.0,0
57,19,2,-1,8,5,1,1,0,0,0,0,3,-133.0,197.0,0
28,14,2,24,9,4,1,1,0,1,0,0,1,3.0,112.0,0
31,7,1,-1,8,1,1,0,0,0,0,0,3,196.0,248.0,1
37,25,1,193,8,9,1,2,0,1,0,0,2,127.0,192.0,1
26,16,5,-1,7,4,2,2,0,0,1,0,3,55.0,165.0,1
39,3,4,267,2,1,1,1,0,1,0,0,0,661.0,84.0,0
34,28,3,-1,5,1,1,1,0,1,0,2,3,261.0,547.0,0
30,18,4,-1,5,4,2,2,0,1,0,0,3,2017.0,213.0,0
29,5,1,-1,2,10,2,0,0,0,0,0,3,34.0,227.0,0
60,9,1,181,8,9,1,1,0,1,0,0,2,824.0,265.0,1
65,10,4,186,9,10,0,1,0,0,0,0,2,588.0,110.0,1
38,1,1,-1,6,9,2,2,0,1,0,0,3,0.0,71.0,0
34,9,2,99,11,8,2,3,0,0,0,0,0,2321.0,547.0,1
33,21,4,-1,11,2,1,2,0,1,1,0,3,87.0,141.0,0
27,15,4,312,5,1,2,3,0,1,1,0,1,-15.0,212.0,0
26,5,1,91,3,8,2,2,0,0,0,0,2,294.0,87.0,0
35,2,3,-1,7,6,1,1,0,0,1,2,3,28.0,159.0,0
28,13,1,-1,5,1,1,0,0,1,0,2,3,286.0,237.0,0
35,4,2,88,5,4,1,2,0,0,0,0,1,93.0,198.0,1
30,27,2,-1,5,0,2,1,0,1,0,0,3,983.0,189.0,0
57,15,2,105,9,1,1,0,0,0,0,0,2,3109.0,107.0,1
55,18,1,370,5,5,0,2,0,0,0,0,2,0.0,547.0,1
46,13,1,-1,5,1,2,0,0,1,0,2,3,355.0,320.0,0
27,30,5,-1,5,1,2,0,0,1,0,2,3,-79.0,385.0,0
39,6,2,-1,6,0,1,1,0,0,0,2,3,441.0,101.0,0
53,28,1,-1,1,11,1,3,0,0,0,1,3,13.0,69.0,0
56,30,5,-1,7,1,1,1,0,0,0,0,3,1316.0,76.0,0
50,7,1,-1,4,1,1,1,0,1,0,0,3,2320.0,310.0,0
35,21,1,-1,5,1,1,1,0,1,1,2,3,-557.0,249.0,0
39,20,3,-1,6,0,0,1,0,1,0,2,3,1022.0,20.0,0
43,9,2,339,4,4,1,3,0,0,0,0,0,275.0,109.0,1
44,2,5,-1,6,1,1,0,0,1,0,2,3,417.0,322.0,0
37,9,3,-1,6,2,1,3,0,1,0,2,3,1134.0,142.0,0
40,15,2,-1,1,9,2,2,0,0,0,0,3,226.0,176.0,1
49,8,1,-1,7,9,1,1,0,1,1,0,3,177.0,191.0,0
46,17,1,-1,11,0,0,1,0,1,0,0,3,-637.0,153.0,0
36,8,2,-1,5,9,1,1,0,1,0,2,3,195.0,380.0,0
39,16,1,-1,6,0,0,1,0,1,0,2,3,952.0,62.0,0
40,16,1,-1,5,4,0,2,0,1,0,2,3,37.0,412.0,0
59,8,2,-1,8,5,0,1,0,0,1,0,3,93.0,108.0,0
52,22,2,-1,8,5,1,0,0,0,0,0,3,6.0,82.0,0
40,18,2,-1,7,9,0,1,0,1,1,0,3,700.0,503.0,1
29,5,5,349,5,1,1,0,0,1,0,0,1,6.0,39.0,0
41,14,1,-1,5,7,1,0,0,1,0,2,3,299.0,72.0,0
23,9,1,-1,5,8,2,1,0,1,0,2,3,151.0,97.0,0
45,30,2,-1,5,0,1,1,0,1,0,2,3,820.0,145.0,0
40,9,1,-1,5,1,0,0,0,1,0,2,3,21.0,547.0,0
37,20,2,-1,5,4,2,3,0,1,0,2,3,715.0,247.0,0
32,8,1,-1,7,1,1,0,0,0,1,0,3,642.0,524.0,1
30,23,4,184,9,6,2,2,0,0,0,0,2,655.0,272.0,1
48,8,1,134,10,7,0,3,0,0,0,0,2,973.0,319.0,1
42,20,1,-1,4,1,1,0,0,1,0,1,3,1156.0,37.0,0
51,11,1,-1,7,4,0,2,0,1,0,0,3,1988.0,67.0,0
60,7,2,-1,7,4,1,2,1,0,1,0,3,-108.0,79.0,0
34,18,1,-1,5,1,1,3,0,1,0,0,3,201.0,78.0,0
30,15,2,361,5,4,2,1,0,1,0,0,1,340.0,136.0,0
30,21,4,126,11,10,0,2,0,1,0,0,0,1718.0,73.0,0
