age,job,marital,education,default,housing,loan,contact,day,month,duration,campaign,pdays,poutcome,y,month_new,job_new,marital_new,education_new,default_new,housing_new,loan_new,contact_new,poutcome_new,y_new,balance_new,duration_new
20,40,retired,married,primary,no,yes,yes,unknown,5,may,181,1,-1,unknown,no,5,5,1,0,0,1,1,2,3,0,0.0,181.0
21,44,admin.,married,secondary,no,yes,no,unknown,5,may,172,1,-1,unknown,no,5,0,1,1,0,1,0,2,3,0,-372.0,172.0
22,39,management,single,tertiary,no,yes,no,unknown,5,may,296,1,-1,unknown,no,5,4,2,2,0,1,0,2,3,0,255.0,296.0
23,46,management,single,secondary,no,yes,no,unknown,5,may,255,2,-1,unknown,no,5,4,2,1,0,1,0,2,3,0,-246.0,255.0
24,36,technician,single,secondary,no,yes,yes,unknown,5,may,348,1,-1,unknown,no,5,9,2,1,0,1,1,2,3,0,265.0,348.0
25,57,technician,married,secondary,no,no,yes,unknown,5,may,225,1,-1,unknown,no,5,9,1,1,0,0,1,2,3,0,839.0,225.0
26,49,management,married,tertiary,no,yes,no,unknown,5,may,230,1,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,378.0,230.0
27,59,blue-collar,married,secondary,no,yes,no,unknown,5,may,226,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,0.0,226.0
29,57,technician,divorced,secondary,no,yes,no,unknown,5,may,242,1,-1,unknown,no,5,9,0,1,0,1,0,2,3,0,63.0,242.0
30,25,blue-collar,married,secondary,no,yes,no,unknown,5,may,365,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,-7.0,365.0
32,36,admin.,divorced,secondary,no,yes,no,unknown,5,may,577,1,-1,unknown,no,5,0,0,1,0,1,0,2,3,0,506.0,547.0
33,37,admin.,single,secondary,no,yes,no,unknown,5,may,137,1,-1,unknown,no,5,0,2,1,0,1,0,2,3,0,0.0,137.0
34,44,services,divorced,secondary,no,yes,no,unknown,5,may,160,1,-1,unknown,no,5,7,0,1,0,1,0,2,3,0,2586.0,160.0
35,50,management,married,secondary,no,yes,no,unknown,5,may,180,2,-1,unknown,no,5,4,1,1,0,1,0,2,3,0,49.0,180.0
36,60,blue-collar,married,unknown,no,yes,no,unknown,5,may,22,1,-1,unknown,no,5,1,1,3,0,1,0,2,3,0,104.0,22.0
38,36,admin.,single,primary,no,yes,no,unknown,5,may,242,1,-1,unknown,no,5,0,2,0,0,1,0,2,3,0,-171.0,242.0
39,44,technician,married,secondary,no,yes,no,unknown,5,may,225,2,-1,unknown,no,5,9,1,1,0,1,0,2,3,0,0.0,225.0
40,55,technician,divorced,secondary,no,no,no,unknown,5,may,160,1,-1,unknown,no,5,9,0,1,0,0,0,2,3,0,0.0,160.0
41,54,blue-collar,married,secondary,no,yes,no,unknown,5,may,266,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,1291.0,266.0
42,48,management,divorced,tertiary,no,yes,no,unknown,5,may,253,1,-1,unknown,no,5,4,0,2,0,1,0,2,3,0,-244.0,253.0
43,32,management,married,tertiary,no,yes,no,unknown,5,may,179,1,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,0.0,179.0
45,24,technician,single,secondary,no,yes,yes,unknown,5,may,145,1,-1,unknown,no,5,9,2,1,0,1,1,2,3,0,-103.0,145.0
46,38,entrepreneur,single,tertiary,no,no,yes,unknown,5,may,174,1,-1,unknown,no,5,2,2,2,0,0,1,2,3,0,243.0,174.0
47,38,management,single,tertiary,no,yes,no,unknown,5,may,104,1,-1,unknown,no,5,4,2,2,0,1,0,2,3,0,424.0,104.0
48,47,blue-collar,married,unknown,no,yes,no,unknown,5,may,13,1,-1,unknown,no,5,1,1,3,0,1,0,2,3,0,306.0,13.0
49,40,blue-collar,single,unknown,no,yes,no,unknown,5,may,185,1,-1,unknown,no,5,1,2,3,0,1,0,2,3,0,24.0,185.0
51,32,admin.,married,tertiary,no,yes,no,unknown,5,may,138,1,-1,unknown,no,5,0,1,2,0,1,0,2,3,0,0.0,138.0
53,57,blue-collar,married,primary,no,yes,no,unknown,5,may,164,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,249.0,164.0
54,33,services,married,secondary,no,yes,no,unknown,5,may,391,1,-1,unknown,no,5,7,1,1,0,1,0,2,3,0,790.0,391.0
55,49,blue-collar,married,unknown,no,yes,no,unknown,5,may,357,1,-1,unknown,no,5,1,1,3,0,1,0,2,3,0,154.0,357.0
57,60,retired,married,tertiary,no,no,no,unknown,5,may,528,1,-1,unknown,no,5,5,1,2,0,0,0,2,3,0,100.0,528.0
58,59,management,divorced,tertiary,no,yes,no,unknown,5,may,273,1,-1,unknown,no,5,4,0,2,0,1,0,2,3,0,59.0,273.0
59,55,technician,married,secondary,no,yes,no,unknown,5,may,158,2,-1,unknown,no,5,9,1,1,0,1,0,2,3,0,1205.0,158.0
62,54,management,married,secondary,no,yes,yes,unknown,5,may,154,1,-1,unknown,no,5,4,1,1,0,1,1,2,3,0,282.0,154.0
63,55,blue-collar,married,primary,no,yes,no,unknown,5,may,291,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,23.0,291.0
64,53,technician,married,secondary,no,yes,no,unknown,5,may,176,1,-1,unknown,no,5,9,1,1,0,1,0,2,3,0,384.0,176.0
65,44,blue-collar,married,secondary,no,no,yes,unknown,5,may,211,1,-1,unknown,no,5,1,1,1,0,0,1,2,3,0,582.0,211.0
66,55,services,divorced,secondary,no,no,no,unknown,5,may,349,1,-1,unknown,no,5,7,0,1,0,0,0,2,3,0,91.0,349.0
67,49,services,divorced,secondary,no,yes,yes,unknown,5,may,272,1,-1,unknown,no,5,7,0,1,0,1,1,2,3,0,0.0,272.0
68,55,services,divorced,secondary,yes,yes,no,unknown,5,may,208,1,-1,unknown,no,5,7,0,1,1,1,0,2,3,0,1.0,208.0
69,45,admin.,single,secondary,no,yes,no,unknown,5,may,193,1,-1,unknown,no,5,0,2,1,0,1,0,2,3,0,206.0,193.0
70,47,services,divorced,secondary,no,no,no,unknown,5,may,212,1,-1,unknown,no,5,7,0,1,0,0,0,2,3,0,164.0,212.0
71,42,technician,single,secondary,no,yes,no,unknown,5,may,20,1,-1,unknown,no,5,9,2,1,0,1,0,2,3,0,690.0,20.0
73,46,self-employed,married,tertiary,no,yes,yes,unknown,5,may,246,1,-1,unknown,no,5,6,1,2,0,1,1,2,3,0,137.0,246.0
74,51,blue-collar,married,primary,no,yes,no,unknown,5,may,529,2,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,173.0,529.0
77,46,management,divorced,secondary,no,yes,yes,unknown,5,may,188,2,-1,unknown,no,5,4,0,1,0,1,1,2,3,0,16.0,188.0
78,57,retired,married,secondary,no,yes,no,unknown,5,may,180,2,-1,unknown,no,5,5,1,1,0,1,0,2,3,0,486.0,180.0
79,42,management,single,secondary,no,no,no,unknown,5,may,48,1,-1,unknown,no,5,4,2,1,0,0,0,2,3,0,50.0,48.0
80,30,technician,married,secondary,no,yes,yes,unknown,5,may,213,2,-1,unknown,no,5,9,1,1,0,1,1,2,3,0,152.0,213.0
81,60,admin.,married,secondary,no,yes,no,unknown,5,may,583,1,-1,unknown,no,5,0,1,1,0,1,0,2,3,0,290.0,547.0
82,60,blue-collar,married,unknown,no,yes,no,unknown,5,may,221,1,-1,unknown,no,5,1,1,3,0,1,0,2,3,0,54.0,221.0
83,57,entrepreneur,divorced,secondary,no,no,no,unknown,5,may,173,1,-1,unknown,no,5,2,0,1,0,0,0,2,3,0,-37.0,173.0
84,36,management,married,tertiary,no,yes,yes,unknown,5,may,426,1,-1,unknown,no,5,4,1,2,0,1,1,2,3,0,101.0,426.0
85,55,blue-collar,married,secondary,no,no,no,unknown,5,may,287,1,-1,unknown,no,5,1,1,1,0,0,0,2,3,0,383.0,287.0
86,60,retired,married,tertiary,no,yes,no,unknown,5,may,101,1,-1,unknown,no,5,5,1,2,0,1,0,2,3,0,81.0,101.0
87,46,management,married,tertiary,no,yes,no,unknown,5,may,197,1,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,229.0,197.0
88,44,blue-collar,married,secondary,no,yes,no,unknown,5,may,257,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,-674.0,257.0
89,53,blue-collar,married,primary,no,no,no,unknown,5,may,124,1,-1,unknown,no,5,1,1,0,0,0,0,2,3,0,90.0,124.0
90,52,blue-collar,married,primary,no,yes,no,unknown,5,may,229,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,128.0,229.0
91,59,blue-collar,married,primary,no,yes,no,unknown,5,may,55,3,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,179.0,55.0
92,27,technician,single,tertiary,no,yes,no,unknown,5,may,400,1,-1,unknown,no,5,9,2,2,0,1,0,2,3,0,0.0,400.0
93,44,blue-collar,married,secondary,no,yes,no,unknown,5,may,197,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,54.0,197.0
94,47,technician,married,tertiary,no,yes,no,unknown,5,may,190,1,-1,unknown,no,5,9,1,2,0,1,0,2,3,0,151.0,190.0
95,34,admin.,married,secondary,no,no,yes,unknown,5,may,21,1,-1,unknown,no,5,0,1,1,0,0,1,2,3,0,61.0,21.0
96,59,retired,single,secondary,no,yes,no,unknown,5,may,514,1,-1,unknown,no,5,5,2,1,0,1,0,2,3,0,30.0,514.0
97,29,services,divorced,secondary,no,yes,no,unknown,5,may,194,1,-1,unknown,no,5,7,0,1,0,1,0,2,3,0,31.0,194.0
98,46,technician,divorced,secondary,no,no,no,unknown,5,may,144,1,-1,unknown,no,5,9,0,1,0,0,0,2,3,0,79.0,144.0
99,56,self-employed,married,primary,no,yes,yes,unknown,5,may,212,2,-1,unknown,no,5,6,1,0,0,1,1,2,3,0,-34.0,212.0
100,36,blue-collar,married,primary,no,yes,no,unknown,5,may,286,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,448.0,286.0
101,59,retired,divorced,primary,no,yes,no,unknown,5,may,107,1,-1,unknown,no,5,5,0,0,0,1,0,2,3,0,81.0,107.0
102,44,blue-collar,married,secondary,no,yes,no,unknown,5,may,247,2,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,144.0,247.0
103,41,admin.,married,secondary,no,yes,no,unknown,5,may,518,1,-1,unknown,no,5,0,1,1,0,1,0,2,3,0,351.0,518.0
104,33,management,single,tertiary,no,yes,no,unknown,5,may,364,1,-1,unknown,no,5,4,2,2,0,1,0,2,3,0,-67.0,364.0
105,59,management,divorced,tertiary,no,no,no,unknown,5,may,178,1,-1,unknown,no,5,4,0,2,0,0,0,2,3,0,262.0,178.0
106,57,technician,married,primary,no,no,no,unknown,5,may,98,1,-1,unknown,no,5,9,1,0,0,0,0,2,3,0,0.0,98.0
107,56,technician,divorced,unknown,no,yes,no,unknown,5,may,439,1,-1,unknown,no,5,9,0,3,0,1,0,2,3,0,56.0,439.0
108,51,blue-collar,married,secondary,no,yes,no,unknown,5,may,79,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,26.0,79.0
109,34,admin.,married,unknown,no,yes,no,unknown,5,may,120,3,-1,unknown,no,5,0,1,3,0,1,0,2,3,0,3.0,120.0
110,43,services,married,secondary,no,yes,yes,unknown,5,may,127,2,-1,unknown,no,5,7,1,1,0,1,1,2,3,0,41.0,127.0
111,52,technician,married,tertiary,no,no,yes,unknown,5,may,175,1,-1,unknown,no,5,9,1,2,0,0,1,2,3,0,7.0,175.0
112,33,technician,single,secondary,no,yes,no,unknown,5,may,262,2,-1,unknown,no,5,9,2,1,0,1,0,2,3,0,105.0,262.0
113,29,admin.,single,secondary,no,yes,yes,unknown,5,may,61,1,-1,unknown,no,5,0,2,1,0,1,1,2,3,0,818.0,61.0
114,34,services,married,secondary,no,yes,yes,unknown,5,may,78,1,-1,unknown,no,5,7,1,1,0,1,1,2,3,0,-16.0,78.0
115,31,blue-collar,married,secondary,no,yes,no,unknown,5,may,143,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,0.0,143.0
117,32,admin.,single,secondary,no,yes,no,unknown,5,may,345,1,-1,unknown,no,5,0,2,1,0,1,0,2,3,0,217.0,345.0
118,38,technician,single,secondary,no,yes,no,unknown,5,may,185,1,-1,unknown,no,5,9,2,1,0,1,0,2,3,0,1685.0,185.0
119,55,admin.,single,secondary,no,yes,yes,unknown,5,may,100,2,-1,unknown,no,5,0,2,1,0,1,1,2,3,0,802.0,100.0
120,28,unemployed,single,tertiary,no,yes,no,unknown,5,may,125,2,-1,unknown,no,5,10,2,2,0,1,0,2,3,0,0.0,125.0
121,23,blue-collar,married,secondary,no,yes,no,unknown,5,may,193,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,94.0,193.0
122,32,technician,single,secondary,no,yes,no,unknown,5,may,136,1,-1,unknown,no,5,9,2,1,0,1,0,2,3,0,0.0,136.0
123,43,services,single,unknown,no,no,no,unknown,5,may,73,1,-1,unknown,no,5,7,2,3,0,0,0,2,3,0,0.0,73.0
124,32,blue-collar,married,secondary,no,yes,no,unknown,5,may,528,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,517.0,528.0
125,46,blue-collar,married,secondary,no,yes,no,unknown,5,may,541,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,265.0,541.0
126,53,housemaid,divorced,primary,no,yes,no,unknown,5,may,163,1,-1,unknown,no,5,3,0,0,0,1,0,2,3,0,947.0,163.0
127,34,self-employed,single,secondary,no,yes,no,unknown,5,may,301,1,-1,unknown,no,5,6,2,1,0,1,0,2,3,0,3.0,301.0
128,57,unemployed,married,tertiary,no,no,no,unknown,5,may,46,1,-1,unknown,no,5,10,1,2,0,0,0,2,3,0,42.0,46.0
129,37,blue-collar,married,secondary,no,yes,no,unknown,5,may,204,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,37.0,204.0
130,59,blue-collar,married,secondary,no,yes,no,unknown,5,may,98,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,57.0,98.0
131,33,services,married,secondary,no,yes,no,unknown,5,may,71,1,-1,unknown,no,5,7,1,1,0,1,0,2,3,0,22.0,71.0
132,56,blue-collar,divorced,primary,no,yes,no,unknown,5,may,157,2,-1,unknown,no,5,1,0,0,0,1,0,2,3,0,8.0,157.0
133,48,unemployed,married,secondary,no,yes,no,unknown,5,may,243,1,-1,unknown,no,5,10,1,1,0,1,0,2,3,0,293.0,243.0
134,43,services,married,primary,no,yes,no,unknown,5,may,186,2,-1,unknown,no,5,7,1,0,0,1,0,2,3,0,3.0,186.0
135,54,blue-collar,married,primary,no,yes,no,unknown,5,may,579,2,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,348.0,547.0
136,26,student,single,secondary,no,yes,no,unknown,5,may,610,2,-1,unknown,no,5,8,2,1,0,1,0,2,3,0,0.0,547.0
138,39,management,married,secondary,no,yes,no,unknown,5,may,85,1,-1,unknown,no,5,4,1,1,0,1,0,2,3,0,18.0,85.0
139,50,technician,married,primary,no,no,no,unknown,5,may,114,2,-1,unknown,no,5,9,1,0,0,0,0,2,3,0,139.0,114.0
140,41,services,married,secondary,no,yes,no,unknown,5,may,114,2,-1,unknown,no,5,7,1,1,0,1,0,2,3,0,0.0,114.0
141,51,blue-collar,married,unknown,no,yes,no,unknown,5,may,57,1,-1,unknown,no,5,1,1,3,0,1,0,2,3,0,1883.0,57.0
142,60,retired,divorced,secondary,no,yes,no,unknown,5,may,238,1,-1,unknown,no,5,5,0,1,0,1,0,2,3,0,216.0,238.0
143,52,blue-collar,married,secondary,no,yes,no,unknown,5,may,93,3,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,782.0,93.0
144,48,blue-collar,married,secondary,no,yes,no,unknown,5,may,128,2,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,904.0,128.0
145,48,services,married,unknown,no,yes,no,unknown,5,may,107,1,-1,unknown,no,5,7,1,3,0,1,0,2,3,0,1705.0,107.0
146,39,technician,single,tertiary,no,yes,no,unknown,5,may,181,1,-1,unknown,no,5,9,2,2,0,1,0,2,3,0,47.0,181.0
147,47,services,single,secondary,no,yes,no,unknown,5,may,303,2,-1,unknown,no,5,7,2,1,0,1,0,2,3,0,176.0,303.0
148,40,blue-collar,married,secondary,no,yes,no,unknown,5,may,558,5,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,1225.0,547.0
149,26,admin.,single,secondary,no,yes,no,unknown,5,may,228,1,-1,unknown,no,5,0,2,1,0,1,0,2,3,0,82.0,228.0
150,52,management,married,tertiary,no,yes,no,unknown,5,may,99,1,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,271.0,99.0
151,54,technician,married,secondary,no,yes,no,unknown,5,may,240,1,-1,unknown,no,5,9,1,1,0,1,0,2,3,0,1378.0,240.0
153,50,blue-collar,married,primary,no,no,no,unknown,5,may,233,3,-1,unknown,no,5,1,1,0,0,0,0,2,3,0,0.0,233.0
155,44,services,married,secondary,no,yes,yes,unknown,5,may,250,1,-1,unknown,no,5,7,1,1,0,1,1,2,3,0,1357.0,250.0
156,53,entrepreneur,married,unknown,no,yes,no,unknown,5,may,252,1,-1,unknown,no,5,2,1,3,0,1,0,2,3,0,19.0,252.0
157,35,retired,single,primary,no,no,no,unknown,5,may,138,1,-1,unknown,no,5,5,2,0,0,0,0,2,3,0,434.0,138.0
158,60,admin.,divorced,secondary,no,yes,no,unknown,5,may,130,1,-1,unknown,no,5,0,0,1,0,1,0,2,3,0,92.0,130.0
159,53,admin.,divorced,secondary,no,yes,no,unknown,5,may,412,1,-1,unknown,no,5,0,0,1,0,1,0,2,3,0,1151.0,412.0
160,48,unemployed,married,secondary,no,yes,no,unknown,5,may,179,2,-1,unknown,no,5,10,1,1,0,1,0,2,3,0,41.0,179.0
161,54,services,married,secondary,no,yes,no,unknown,5,may,458,2,-1,unknown,no,5,7,1,1,0,1,0,2,3,0,214.0,458.0
165,38,technician,married,secondary,no,yes,no,unknown,5,may,416,1,-1,unknown,no,5,9,1,1,0,1,0,2,3,0,253.0,416.0
166,36,admin.,married,tertiary,no,yes,no,unknown,5,may,146,2,-1,unknown,no,5,0,1,2,0,1,0,2,3,0,211.0,146.0
167,58,retired,married,primary,no,yes,no,unknown,5,may,167,1,-1,unknown,no,5,5,1,0,0,1,0,2,3,0,235.0,167.0
170,34,blue-collar,single,secondary,no,yes,yes,unknown,5,may,346,1,-1,unknown,no,5,1,2,1,0,1,1,2,3,0,53.0,346.0
171,31,management,single,tertiary,no,yes,no,unknown,5,may,562,1,-1,unknown,no,5,4,2,2,0,1,0,2,3,0,0.0,547.0
172,51,retired,married,secondary,no,yes,no,unknown,5,may,172,1,-1,unknown,no,5,5,1,1,0,1,0,2,3,0,2127.0,172.0
173,33,management,married,tertiary,no,yes,no,unknown,5,may,217,1,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,377.0,217.0
174,55,management,married,tertiary,no,yes,no,unknown,5,may,142,2,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,73.0,142.0
175,42,admin.,married,secondary,no,yes,no,unknown,5,may,67,1,-1,unknown,no,5,0,1,1,0,1,0,2,3,0,445.0,67.0
176,34,blue-collar,married,secondary,no,yes,no,unknown,5,may,291,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,243.0,291.0
177,33,blue-collar,single,secondary,no,yes,no,unknown,5,may,309,2,-1,unknown,no,5,1,2,1,0,1,0,2,3,0,307.0,309.0
178,38,services,married,secondary,no,yes,no,unknown,5,may,248,1,-1,unknown,no,5,7,1,1,0,1,0,2,3,0,155.0,248.0
179,50,technician,divorced,tertiary,no,no,yes,unknown,5,may,98,1,-1,unknown,no,5,9,0,2,0,0,1,2,3,0,173.0,98.0
180,43,management,married,tertiary,no,yes,no,unknown,5,may,256,1,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,400.0,256.0
181,61,blue-collar,divorced,primary,no,yes,no,unknown,5,may,82,2,-1,unknown,no,5,1,0,0,0,1,0,2,3,0,1428.0,82.0
182,47,admin.,married,secondary,no,yes,no,unknown,5,may,577,1,-1,unknown,no,5,0,1,1,0,1,0,2,3,0,219.0,547.0
183,35,student,single,unknown,no,yes,no,unknown,5,may,611,2,-1,unknown,no,5,8,2,3,0,1,0,2,3,0,298.0,547.0
184,35,services,married,secondary,no,yes,no,unknown,5,may,471,1,-1,unknown,no,5,7,1,1,0,1,0,2,3,0,0.0,471.0
186,41,management,married,tertiary,no,yes,yes,unknown,5,may,42,1,-1,unknown,no,5,4,1,2,0,1,1,2,3,0,176.0,42.0
187,41,management,married,tertiary,no,yes,no,unknown,5,may,251,1,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,517.0,251.0
188,39,services,single,unknown,no,yes,no,unknown,5,may,408,1,-1,unknown,no,5,7,2,3,0,1,0,2,3,0,257.0,408.0
189,42,retired,married,secondary,no,yes,no,unknown,5,may,215,1,-1,unknown,no,5,5,1,1,0,1,0,2,3,0,56.0,215.0
190,38,blue-collar,married,secondary,no,yes,no,unknown,5,may,287,1,-1,unknown,no,5,1,1,1,0,1,0,2,3,0,-390.0,287.0
191,53,retired,married,secondary,no,yes,no,unknown,5,may,216,2,-1,unknown,no,5,5,1,1,0,1,0,2,3,0,330.0,216.0
192,59,housemaid,divorced,primary,no,no,no,unknown,5,may,366,2,-1,unknown,no,5,3,0,0,0,0,0,2,3,0,195.0,366.0
193,36,services,married,secondary,no,yes,no,unknown,5,may,210,1,-1,unknown,no,5,7,1,1,0,1,0,2,3,0,301.0,210.0
194,54,blue-collar,married,primary,no,yes,no,unknown,5,may,288,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,-41.0,288.0
195,40,technician,married,tertiary,no,yes,no,unknown,5,may,168,1,-1,unknown,no,5,9,1,2,0,1,0,2,3,0,483.0,168.0
196,47,unknown,married,unknown,no,no,no,unknown,5,may,338,2,-1,unknown,no,5,11,1,3,0,0,0,2,3,0,28.0,338.0
197,53,unemployed,married,unknown,no,no,no,unknown,5,may,410,3,-1,unknown,no,5,10,1,3,0,0,0,2,3,0,13.0,410.0
198,46,housemaid,married,primary,no,no,no,unknown,5,may,177,1,-1,unknown,no,5,3,1,0,0,0,0,2,3,0,965.0,177.0
199,39,management,married,tertiary,no,yes,yes,unknown,5,may,127,2,-1,unknown,no,5,4,1,2,0,1,1,2,3,0,378.0,127.0
200,40,unemployed,married,secondary,no,yes,no,unknown,5,may,357,1,-1,unknown,no,5,10,1,1,0,1,0,2,3,0,219.0,357.0
201,28,blue-collar,married,primary,no,yes,no,unknown,5,may,175,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,324.0,175.0
202,35,entrepreneur,divorced,secondary,no,yes,no,unknown,5,may,300,1,-1,unknown,no,5,2,0,1,0,1,0,2,3,0,-69.0,300.0
204,48,blue-collar,married,primary,no,yes,no,unknown,5,may,125,2,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,278.0,125.0
205,58,management,married,unknown,no,yes,no,unknown,5,may,213,3,-1,unknown,no,5,4,1,3,0,1,0,2,3,0,1065.0,213.0
206,53,services,divorced,secondary,no,yes,no,unknown,5,may,124,1,-1,unknown,no,5,7,0,1,0,1,0,2,3,0,1467.0,124.0
207,47,blue-collar,married,primary,no,yes,no,unknown,5,may,18,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,-12.0,18.0
210,53,blue-collar,married,unknown,no,no,no,unknown,5,may,121,1,-1,unknown,no,5,1,1,3,0,0,0,2,3,0,1827.0,121.0
211,55,blue-collar,married,primary,no,yes,no,unknown,5,may,247,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,627.0,247.0
212,45,blue-collar,married,primary,no,yes,no,unknown,5,may,40,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,25.0,40.0
213,53,admin.,divorced,secondary,no,yes,no,unknown,5,may,181,2,-1,unknown,no,5,0,0,1,0,1,0,2,3,0,315.0,181.0
214,37,blue-collar,married,primary,no,yes,no,unknown,5,may,79,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,0.0,79.0
215,44,admin.,divorced,secondary,no,yes,no,unknown,5,may,206,1,-1,unknown,no,5,0,0,1,0,1,0,2,3,0,66.0,206.0
216,49,blue-collar,divorced,primary,no,yes,yes,unknown,5,may,389,1,-1,unknown,no,5,1,0,0,0,1,1,2,3,0,-9.0,389.0
217,46,technician,married,secondary,no,yes,yes,unknown,5,may,127,1,-1,unknown,no,5,9,1,1,0,1,1,2,3,0,349.0,127.0
219,38,admin.,married,secondary,no,no,no,unknown,5,may,151,1,-1,unknown,no,5,0,1,1,0,0,0,2,3,0,0.0,151.0
220,43,technician,married,secondary,no,yes,no,unknown,5,may,117,1,-1,unknown,no,5,9,1,1,0,1,0,2,3,0,434.0,117.0
221,49,management,married,tertiary,no,yes,no,unknown,5,may,232,3,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,3237.0,232.0
